|TC|firstName|lastName|dateOfBirth|gender|streetAddress|country|zipCode|city|occupation|hobbies|website|picture|redirect|
|1|Joao|Joao|20 anos|male|abc 123|valor válido|12345678|abc|valor válido|1 seleção|www.google.com|.jpg 5 MB|true|
|2|null|João|20 anos|null|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|valor válido|12345678|abc|valor válido|null|www.google.com|.mp4|false|
|3|null|Joao|18 anos|male|12345|- please select -|123456789|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|- please select -|1 seleção|https://www.google.com.br|.jpg 5 MB|false|
|4|null|12345|17 anos|female|abc 123|valor válido|abcd|12345|valor válido|todas seleções|12345|.jpg 100 MB|false|
|5|null|Joao@|hoje|null|null|- please select -|1234567.8|abcd@!|- please select -|null|abcd@!|null|false|
|6|null|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|ddMMaaaa|male|aa|valor válido|null|null|valor válido|1 seleção|null|.pdf|false|
|7|a|a|70 anos|null|12345|valor válido|1234567.8|null|- please select -|null|www.google.com|null|false|
|8|a|Mi|20 anos|male|abc 123|- please select -|null|a|valor válido|1 seleção|null|.pdf|false|
|9|a|João|18 anos|female|null|valor válido|123|ab|- please select -|null|a|.csv|false|
|10|a|Joao|17 anos|null|aa|- please select -|1234|abc|- please select -|1 seleção|google.com|.mp4|false|
|11|a|12345|hoje|male|abc|valor válido|12345678|null|valor válido|todas seleções|www.google.com|.jpg 5 MB|false|
|12|a|Joao@|ddMMaaaa|female|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|- please select -|null|a|- please select -|null|https://www.google.com.br|.jpg 100 MB|false|
|13|a|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|MM/dd/aaaa|null|12345|- please select -|123|ab|valor válido|1 seleção|12345|null|false|
|14|a|Mi|null|male|abc|valor válido|123456789|12345|- please select -|1 seleção|a|.mp4|false|
|15|a|null|71 anos|female|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|- please select -|abcd|abcd@!|valor válido|todas seleções|google.com|.jpg 5 MB|false|
|16|Mi|Mi|18 anos|null|abc|- please select -|123|abc|valor válido|1 seleção|google.com|null|false|
|17|Mi|João|17 anos|male|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|- please select -|1234|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|- please select -|todas seleções|www.google.com|.pdf|false|
|18|Mi|Joao|hoje|female|12345|valor válido|12345678|12345|valor válido|null|null|.csv|false|
|19|Mi|12345|ddMMaaaa|null|null|- please select -|123456789|abcd@!|- please select -|1 seleção|a|.mp4|false|
|20|Mi|Joao@|MM/dd/aaaa|male|aa|valor válido|abcd|null|valor válido|null|google.com|.jpg 5 MB|false|
|21|Mi|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|null|null|abc|- please select -|1234567.8|a|- please select -|1 seleção|www.google.com|.jpg 100 MB|false|
|22|Mi|null|71 anos|male|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|valor válido|null|ab|- please select -|todas seleções|https://www.google.com.br|null|false|
|23|Mi|a|null|female|12345|- please select -|123|abc|valor válido|null|12345|.pdf|false|
|24|Mi|Mi|71 anos|null|abc 123|valor válido|1234|null|- please select -|1 seleção|abcd@!|.csv|false|
|25|Mi|null|70 anos|male|null|- please select -|12345678|a|valor válido|todas seleções|null|.mp4|false|
|26|Mi|a|20 anos|female|aa|valor válido|null|ab|- please select -|null|a|.jpg 5 MB|false|
|27|João|João|hoje|null|aa|- please select -|null|abc|- please select -|todas seleções|a|null|false|
|28|João|Joao|ddMMaaaa|male|abc|valor válido|123|null|valor válido|null|google.com|.pdf|false|
|29|João|12345|MM/dd/aaaa|null|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|- please select -|1234|a|- please select -|1 seleção|www.google.com|.csv|false|
|30|João|Joao@|null|male|12345|valor válido|12345678|ab|valor válido|todas seleções|null|.mp4|false|
|31|João|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|71 anos|female|abc 123|- please select -|null|abc|- please select -|null|a|.jpg 5 MB|false|
|32|João|null|null|null|null|valor válido|123|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|valor válido|1 seleção|google.com|.jpg 100 MB|false|
|33|João|a|71 anos|male|aa|- please select -|1234|12345|- please select -|null|www.google.com|null|false|
|34|João|Mi|70 anos|female|abc|- please select -|12345678|abcd@!|valor válido|1 seleção|https://www.google.com.br|.pdf|false|
|35|João|null|20 anos|null|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|valor válido|123456789|null|- please select -|todas seleções|12345|.csv|false|
|36|João|a|18 anos|male|12345|- please select -|abcd|a|- please select -|null|abcd@!|.mp4|false|
|37|João|Mi|17 anos|female|null|valor válido|1234567.8|ab|valor válido|1 seleção|null|.jpg 5 MB|false|
|38|Joao|Joao|MM/dd/aaaa|male|abc 123|valor válido|1234|abcd@!|- please select -|null|null|null|false|
|39|Joao|12345|null|female|null|- please select -|12345678|null|- please select -|1 seleção|a|.pdf|false|
|40|Joao|Joao@|71 anos|null|aa|- please select -|123456789|a|valor válido|todas seleções|google.com|.csv|false|
|41|Joao|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|null|male|abc|valor válido|abcd|ab|- please select -|null|www.google.com|.mp4|false|
|42|Joao|null|71 anos|female|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|- please select -|1234567.8|abc|valor válido|1 seleção|null|.jpg 5 MB|false|
