TC,make,enginePerformance,dateOfManufacture,numberOfSeats,fuelType,listPrice,licensePlateNumber,annualMileage,redirect
",1",valor válido,1,hoje,valor válido,valor válido,500,abcde1,100,"true,"
",2",- please select -,1,-50 anos,valor válido,valor válido,500,abcde,100,"false,"
",3",- please select -,2000,dia anterior,- please select -,- please select -,100000,abcde,10000,"false,"
",4",- please select -,0,hoje,valor válido,valor válido,0,abcde1,100000,"false,"
",5",- please select -,-1,amanhã,- please select -,- please select -,499,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,99,"false,"
",6",- please select -,2001,+50 anos,valor válido,valor válido,100001,ab!@/,100001,"false,"
",7",- please select -,153.245.165,ddMMaaaa,- please select -,- please select -,-500,null,0,"false,"
",8",- please select -,teste,MM/dd/aaaa,valor válido,valor válido,100.425.111,abcde,-1000,"false,"
",9",valor válido,1,dia anterior,valor válido,- please select -,100001,null,-1000,"false,"
",10",valor válido,2000,hoje,- please select -,valor válido,-500,abcde,null,"false,"
",11",valor válido,0,amanhã,valor válido,- please select -,100.425.111,abcde,null,"false,"
",12",valor válido,-1,+50 anos,- please select -,valor válido,teste,null,100,"false,"
",13",valor válido,2001,ddMMaaaa,valor válido,- please select -,null,abcde,10000,"false,"
",14",valor válido,153.245.165,MM/dd/aaaa,- please select -,- please select -,500,abcde,100000,"false,"
",15",valor válido,teste,null,- please select -,valor válido,100000,abcde1,99,"false,"
",16",valor válido,null,null,valor válido,- please select -,0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,100001,"false,"
",17",valor válido,null,-50 anos,- please select -,valor válido,499,ab!@/,0,"false,"
",18",- please select -,2000,amanhã,- please select -,- please select -,500,abcde1,100001,"false,"
",19",- please select -,0,+50 anos,valor válido,- please select -,100000,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,"false,"
",20",- please select -,-1,ddMMaaaa,- please select -,valor válido,0,ab!@/,-1000,"false,"
",21",- please select -,2001,MM/dd/aaaa,- please select -,- please select -,499,null,null,"false,"
",22",- please select -,153.245.165,null,valor válido,valor válido,100001,abcde,null,"false,"
",23",- please select -,teste,null,- please select -,- please select -,-500,abcde,100,"false,"
",24",- please select -,null,-50 anos,valor válido,valor válido,100.425.111,null,10000,"false,"
",25",- please select -,null,dia anterior,- please select -,- please select -,teste,abcde,100000,"false,"
",26",- please select -,1,hoje,valor válido,valor válido,null,abcde,99,"false,"
",27",valor válido,0,ddMMaaaa,- please select -,valor válido,-500,null,100000,"false,"
",28",valor válido,-1,MM/dd/aaaa,valor válido,- please select -,100.425.111,abcde,99,"false,"
",29",valor válido,2001,null,- please select -,valor válido,teste,abcde,100001,"false,"
",30",valor válido,153.245.165,null,valor válido,- please select -,null,abcde1,0,"false,"
",31",valor válido,teste,-50 anos,- please select -,valor válido,500,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,-1000,"false,"
",32",valor válido,null,dia anterior,valor válido,- please select -,100000,ab!@/,null,"false,"
",33",valor válido,1,amanhã,valor válido,valor válido,499,abcde,100,"false,"
